customer_id,CustomerName,Gender,age,City,State,Pincode,DateOfBirth,Age,MaritalStatus,Education,Occupation,AnnualIncome,AccountOpenDate,CustomerSegment,account_type
1,Avi Zachariah,Female,61,Chandigarh,Punjab,108219,13-05-2010,16,Single,High School,Salaried,657168,14-05-2011,Silver,Savings
2,Kamala Dara,Male,29,Bhopal,Madhya Pradesh,392092,27-12-1969,56,Divorced,High School,Student,140774,16-06-2024,Regular,Salary
3,Rushil Raval,Male,23,Mumbai,Maharashtra,791962,30-03-1962,63,Married,Bachelor,Self-employed,693481,10-11-2024,Silver,Salary
4,Girish Bahri,Female,59,Pune,Maharashtra,892285,03-09-1984,41,Married,PhD,Self-employed,1894855,03-01-2019,Gold,Savings
5,Alexander Edwin,Female,65,Delhi,Delhi,410541,20-12-1981,44,Single,Bachelor,Salaried,955628,13-10-2014,Silver,Current
6,Advay Sethi,Female,38,Chennai,Tamil Nadu,394202,10-01-1980,45,Single,High School,Salaried,512657,24-03-2015,Silver,Current
7,Idika Thakur,Male,31,Delhi,Delhi,832569,08-07-1972,53,Single,Diploma,Student,156451,13-01-2012,Regular,Savings
8,Amol Kadakia,Male,34,Patna,Bihar,691216,12-03-1969,56,Married,Diploma,Retired,160637,29-03-2012,Regular,Salary
9,Jatin Sha,Female,45,Pune,Maharashtra,47353,04-12-2008,17,Married,Diploma,Self-employed,1453519,08-11-2022,Gold,Salary
10,Sanya Ganguly,Male,23,Bangalore,Karnataka,398573,19-10-1967,58,Married,High School,Self-employed,1087219,20-07-2011,Gold,Salary
11,Krisha Pal,Female,45,Chennai,Tamil Nadu,735837,22-12-2012,13,Single,Master,Retired,356509,30-08-2019,Regular,Current
12,Wahab Dixit,Male,60,Bangalore,Karnataka,820842,07-11-1997,28,Divorced,Bachelor,Student,146532,04-02-2012,Regular,Salary
13,Ekapad Swaminathan,Female,66,Ahmedabad,Gujarat,71370,07-11-1962,63,Married,Bachelor,Business Owner,852461,04-05-2012,Silver,Salary
14,Advika Kaur,Male,26,Mumbai,Maharashtra,637259,03-09-1962,63,Single,High School,Business Owner,2381676,29-03-2023,Platinum,Current
15,Aahana Chaudhry,Female,50,Kolkata,West Bengal,234076,28-05-1968,57,Single,High School,Self-employed,539586,15-06-2017,Silver,Savings
16,Oni Bail,Male,43,Delhi,Delhi,309181,13-08-1979,46,Single,Bachelor,Business Owner,729592,23-07-2017,Silver,Current
17,Manya Palla,Male,64,Chennai,Tamil Nadu,155170,14-11-1980,45,Single,Master,Student,138077,10-12-2014,Regular,Current
18,Hamsini Bansal,Female,36,Delhi,Delhi,568188,03-05-2005,20,Married,Bachelor,Business Owner,719049,29-07-2010,Silver,Salary
19,Gaurangi Dhar,Male,61,Kolkata,West Bengal,172962,03-01-2014,11,Married,Master,Salaried,1409588,06-05-2023,Gold,Savings
20,George Dhingra,Female,70,Hyderabad,Telangana,218681,19-05-1962,63,Single,Master,Student,62363,30-06-2015,Regular,Current
21,Ranbir Dutta,Male,41,Pune,Maharashtra,767109,08-05-2010,15,Married,High School,Retired,290459,28-12-2020,Regular,Salary
22,Sneha Badal,Male,57,Jaipur,Rajasthan,265200,02-11-1977,48,Single,Diploma,Self-employed,1047000,11-08-2014,Gold,Savings
23,Anusha Chopra,Male,52,Chennai,Tamil Nadu,622943,21-04-2018,7,Single,Bachelor,Student,74312,23-07-2012,Regular,Savings
24,Watika Sankar,Male,29,Jaipur,Rajasthan,653925,20-11-2008,17,Single,Diploma,Business Owner,1583499,09-04-2014,Gold,Current
25,Jacob Patla,Female,48,Bangalore,Karnataka,324375,20-08-1997,28,Married,Diploma,Student,167502,26-09-2015,Regular,Salary
26,Zansi Doctor,Male,29,Delhi,Delhi,990965,11-10-1979,46,Married,Diploma,Retired,338083,13-04-2011,Regular,Savings
27,Anthony Samra,Male,28,Bhopal,Madhya Pradesh,825274,19-04-2000,25,Single,Diploma,Student,130545,03-03-2015,Regular,Current
28,Yash Amble,Male,48,Jaipur,Rajasthan,718423,12-11-2012,13,Married,Master,Retired,241161,08-12-2020,Regular,Current
29,Unni Ramaswamy,Male,50,Jaipur,Rajasthan,950960,15-12-1984,41,Married,High School,Retired,347262,20-01-2021,Regular,Savings
30,Onveer Minhas,Female,28,Pune,Maharashtra,881776,31-07-1960,65,Single,Diploma,Student,110377,20-12-2023,Regular,Savings
31,Azad Agrawal,Female,42,Ahmedabad,Gujarat,585454,28-04-1974,51,Married,Bachelor,Self-employed,1167812,25-09-2011,Gold,Current
32,Baljiwan Kibe,Female,21,Kolkata,West Bengal,932382,30-11-1997,28,Single,Bachelor,Self-employed,1739301,18-06-2020,Gold,Savings
33,Charan Sunder,Female,69,Jaipur,Rajasthan,154339,11-07-1990,35,Single,Bachelor,Business Owner,1401036,10-03-2010,Gold,Current
34,Joshua Bala,Male,40,Bhopal,Madhya Pradesh,405020,05-12-1984,41,Divorced,Master,Student,143486,27-10-2014,Regular,Savings
